KECAMATAN,DESA,KAMPUNG,RT/RW,LUAS (Ha),KEWENANGAN,Bobot Kumuh,Tingkat Kekumuhan Awal,Pembagian Kawasan Kumuh,BANGUNAN-JALAN LINGKUNGAN (Unit)-KEBUTUHAN,BANGUNAN-JALAN LINGKUNGAN (Unit)-NUMERIK,BANGUNAN-RELOKASI (Ha)-KEBUTUHAN,BANGUNAN-RELOKASI (Ha)-NUMERIK,BANGUNAN-RTLH (Unit)-KEBUTUHAN,BANGUNAN-RTLH (Unit)-NUMERIK,JALAN LINGKUNGAN-JALAN BARU (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN BARU (M)-NUMERIK,JALAN LINGKUNGAN-JALAN RUSAK (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN RUSAK (M)-NUMERIK,AIR MINUM-SAB AKSES (KK)-KEBUTUHAN,AIR MINUM-SAB AKSES (KK)-NUMERIK,AIR MINUM-SAB KEBUTUHAN (KK)-KEBUTUHAN,AIR MINUM-SAB KEBUTUHAN (KK)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-NUMERIK,SANITASI-SETPITENG KOMUNAL (KK)-KEBUTUHAN,SANITASI-SETPITENG KOMUNAL (KK)-NUMERIK,SANITASI-JAMBAN PRIBADI (KK)-KEBUTUHAN,SANITASI-JAMBAN PRIBADI (KK)-NUMERIK,PERSAMPAHAN-TPS/TPST (KK)-KEBUTUHAN,PERSAMPAHAN-TPS/ TPST (KK)-NUMERIK,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -KEBUTUHAN,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -NUMERIK,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-KEBUTUHAN,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-NUMERIK,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-KEBUTUHAN,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-NUMERIK
ANYAR,SINDANG MANDI,KP. BABAKAN,RT004-RW002,1.45640150497,KAB/KOTA,16,KUMUH RINGAN,Kawasan Pesisir Barat,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,5,72,5,72,0,57,5
ANYAR,SINDANG KARYA,KP. PALUPUY,RT001-RW002,0.623792831273,KAB/KOTA,32,KUMUH RINGAN,Kawasan Pesisir Barat,13,1,0,0,16,1,0,0,390,3,51,5,0,0,0,0,450,5,0,0,15,1,15,1,51,5,51,5,51,0,37,5
ANYAR,SINDANG KARYA,KP. PALUPUY,RT002-RW002,1.19957548984,KAB/KOTA,35,KUMUH RINGAN,Kawasan Pesisir Barat,30,1,0,0,1,0,0,0,415,3,86,5,0,0,0,0,235,5,0,0,5,0,22,1,87,5,87,5,87,5,62,5
ANYAR,SINDANG KARYA,KP. PALUPUY,RT003-RW002,0.850189757871,KAB/KOTA,31,KUMUH RINGAN,Kawasan Pesisir Barat,25,3,0,0,11,0,0,0,350,3,68,5,0,0,0,0,500,5,50,0,1,0,1,0,68,5,68,5,68,0,47,5
ANYAR,SINDANG KARYA,KP. PALUPUY,RT004-RW002,1.01128783647,KAB/KOTA,22,KUMUH RINGAN,Kawasan Pesisir Barat,10,0,0,0,2,0,0,0,175,1,52,5,0,0,0,0,150,1,0,0,8,0,10,0,53,5,53,5,53,0,46,5
ANYAR,SINDANG KARYA,KP. PALUPUY,RT005-RW002,1.09099938665,KAB/KOTA,29,KUMUH RINGAN,Kawasan Pesisir Barat,12,1,0,0,5,0,0,0,395,5,33,3,0,0,0,0,395,5,0,0,5,0,6,0,46,5,46,5,46,0,40,5
BANDUNG,BABAKAN,KP. RANCAGEDE,RT003-RW001,3.38500067845,KAB/KOTA,26,KUMUH RINGAN,Kawasan Perkotaan Timur,20,0,0,0,7,0,0,0,400,1,12,0,0,0,0,0,0,0,900,5,19,0,19,0,164,5,164,5,164,5,140,5
BANDUNG,BANDUNG,KP. BANDUNG,RT002-RW001,2.5156350861,KAB/KOTA,27,KUMUH RINGAN,Kawasan Perkotaan Timur,26,0,0,0,17,0,0,0,570,3,16,0,0,0,0,0,600,1,850,3,3,0,3,0,120,5,120,5,120,5,108,5
BANDUNG,MALABAR,KP. SUKADAMAI,RT004-RW002,2.77943159497,KAB/KOTA,31,KUMUH RINGAN,Kawasan Perkotaan Timur,96,5,0,0,10,0,0,0,700,1,138,5,0,0,0,0,0,0,400,5,6,0,6,0,138,5,138,5,138,0,115,5
BANDUNG,MALABAR,KP. SUKADAMAI,RT005-RW002,2.6849263956,KAB/KOTA,35,KUMUH RINGAN,Kawasan Perkotaan Timur,105,5,0,0,3,0,0,0,500,1,158,5,0,0,0,0,700,1,800,3,3,0,3,0,158,5,158,5,158,5,119,5
BANDUNG,MALABAR,KP. SUKADAMAI,RT006-RW002,2.14332772062,KAB/KOTA,34,KUMUH RINGAN,Kawasan Perkotaan Timur,111,5,0,0,5,0,0,0,300,1,165,5,0,0,0,0,0,0,600,3,5,0,5,0,165,5,165,5,165,5,130,5
BAROS,BAROS,KP. SEUNGIR,RT013-RW003,2.19949902588,KAB/KOTA,26,KUMUH RINGAN,Kawasan Perkotaan Selatan,30,1,0,0,8,0,0,0,130,0,0,0,0,0,0,0,300,5,0,0,3,0,3,0,82,5,82,5,82,5,66,5
BAROS,CISALAM,KP. CIHUNYUR,RT005-RW002,2.86536184982,KAB/KOTA,28,KUMUH RINGAN,Kawasan Perkotaan Selatan,73,3,0,0,9,0,0,0,155,0,0,0,0,0,0,0,1080,5,0,0,0,0,10,0,102,5,102,5,102,5,102,5
BAROS,CISALAM,KP. CIHUNYUR,RT016-RW005,0.927212767608,KAB/KOTA,21,KUMUH RINGAN,Kawasan Perkotaan Selatan,12,1,0,0,2,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,24,5,24,5,24,5
BAROS,CURUG AGUNG,KP. CURUGAGUNG,RT005-RW003,1.83809977878,KAB/KOTA,24,KUMUH RINGAN,Kawasan Perkotaan Selatan,29,3,0,0,3,0,0,0,300,1,1,0,1,0,0,0,0,0,0,0,1,0,4,0,52,5,52,5,52,5,49,5
BAROS,SIDAMUKTI,KP. BATULINGGA ,RT005-RW004,1.62001998205,KAB/KOTA,25,KUMUH RINGAN,Kawasan Perkotaan Selatan,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,5,0,0,1,0,0,0,70,5,70,5,70,5,53,5
BAROS,SIDAMUKTI,KP. PARUMASAN,RT007-RW004,3.43377700401,KAB/KOTA,26,KUMUH RINGAN,Kawasan Perkotaan Selatan,12,0,0,0,0,0,0,0,800,1,0,0,0,0,0,0,100,5,0,0,0,0,0,0,59,5,59,5,59,5,59,5
BAROS,SINDANGMANDI,KP. SIPURUT ,RT003-RW001,0.923330152181,KAB/KOTA,26,KUMUH RINGAN,Kawasan Perkotaan Selatan,7,0,0,0,6,0,150,1,50,0,0,0,0,0,0,0,150,5,0,0,4,0,0,0,42,5,42,5,42,5,36,5
