rt_rw,kampung,desa,kecamatan,luas_ha,kewenangan,bobot_kumuh
RT009-RW001,KP. KEDUNG PICIS,CARENANG,CARENANG,1.420,KAB/KOTA,26
RT001-RW001,KP. WATGALIH,MANDAYA,CARENANG,0.497,PUSAT,26
RT002-RW001,KP. WATGALIH,MANDAYA,CARENANG,0.489,PUSAT,27
RT003-RW001,KP. WATGALIH,MANDAYA,CARENANG,1.315,PUSAT,26
RT004-RW001,KP. WATGALIH,MANDAYA,CARENANG,1.915,PUSAT,26
RT005-RW002,KP. KARANGKOBONG,MANDAYA,CARENANG,1.237,PUSAT,32
RT006-RW002,KP. KARANGKOBONG,MANDAYA,CARENANG,1.269,PUSAT,27
RT007-RW002,KP. GARDU KISALAM,MANDAYA,CARENANG,1.054,PUSAT,28
RT010-RW003,KP. MANDAYA,MANDAYA,CARENANG,2.212,PUSAT,27
RT011-RW003,KP. MANDAYA,MANDAYA,CARENANG,3.339,PUSAT,28
RT012-RW003,KP. MANDAYA,MANDAYA,CARENANG,2.263,PUSAT,28
RT013-RW003,KP. MANDAYA,MANDAYA,CARENANG,3.590,PUSAT,28
RT021-RW002,KP. GARDU KISALAM,MANDAYA,CARENANG,0.756,PUSAT,26
RT004-RW002,KP. CARENANG,MEKARSARI,CARENANG,1.693,KAB/KOTA,32
RT004-RW001,KP. BAGBAGAN,RAGAS MASIGIT,CARENANG,0.453,KAB/KOTA,56
RT006-RW002,KP. RAGAS ILIR,RAGAS MASIGIT,CARENANG,1.030,KAB/KOTA,30
RT007-RW002,KP. RAGAS ILIR,RAGAS MASIGIT,CARENANG,0.843,KAB/KOTA,46
RT008-RW002,KP. RAGAS TEGAL,RAGAS MASIGIT,CARENANG,0.988,KAB/KOTA,37
RT010-RW002,KP. ASTANA RAGAS,RAGAS MASIGIT,CARENANG,0.865,KAB/KOTA,29
RT018-RW002,KP. RAGAS ILIR,RAGAS MASIGIT,CARENANG,0.979,KAB/KOTA,34
RT027-RW002,KP. RAGAS TEGAL,RAGAS MASIGIT,CARENANG,1.223,KAB/KOTA,33
RT028-RW002,KP. RAGAS TEGAL,RAGAS MASIGIT,CARENANG,0.629,KAB/KOTA,36
RT005-RW003,KP. BEBERAN,TERAS,CARENANG,1.779,KAB/KOTA,31
RT006-RW003,KP. BEBERAN,TERAS,CARENANG,3.663,KAB/KOTA,31
RT009-RW003,KP. KEDUNG SENTUL,WALIKUKUN,CARENANG,0.931,KAB/KOTA,31
RT010-RW003,KP. KEDUNG SENTUL,WALIKUKUN,CARENANG,1.109,KAB/KOTA,27
RT012-RW003,KP. KEDUNG SENTUL,WALIKUKUN,CARENANG,0.745,KAB/KOTA,21
